"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\NetWork\friendShipGetService.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\NetWork\friendShipService.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\NetWork\friendShipStatusService.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 8, 32
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\NetWork\pendingFriendshipService.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Posts\postDeleteService.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Posts\postGetAllService.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Posts\postGetAllUserService.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Posts\postGetService.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Posts\postMakeService.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\User\userDeleteService.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\User\userGetAllService.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\User\userGetByIdService.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\User\userGetByNameService.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\User\userLoginService.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\User\userRegisterService.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 7, 18
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\User\userUpdateService.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 23
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\tests\User\userLoginController.test.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 17, 85
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\tests\User\userRegisterController.test.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 12, 62
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\utils\generateTokenJWT.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
